dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript
CREMA-D,1001_DFA_ANG_XX,anger,anger,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_DFA_DIS_XX,disgust,disgust,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_DFA_FEA_XX,fear,fear,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_DFA_HAP_XX,joy,joy,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_DFA_NEU_XX,neutral,neutral,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_DFA_SAD_XX,sadness,sadness,0.0,0.0,Don't forget a jacket.
CREMA-D,1001_IEO_ANG_HI,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_ANG_LO,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_ANG_MD,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_DIS_HI,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_DIS_LO,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_DIS_MD,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_FEA_HI,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_FEA_LO,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_FEA_MD,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_HAP_HI,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_HAP_LO,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_HAP_MD,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_NEU_XX,neutral,neutral,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_SAD_HI,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_SAD_LO,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IEO_SAD_MD,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1001_IOM_ANG_XX,anger,anger,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_IOM_DIS_XX,disgust,disgust,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_IOM_FEA_XX,fear,fear,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_IOM_HAP_XX,joy,joy,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_IOM_NEU_XX,neutral,neutral,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_IOM_SAD_XX,sadness,sadness,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1001_ITH_ANG_XX,anger,anger,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITH_DIS_XX,disgust,disgust,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITH_FEA_XX,fear,fear,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITH_HAP_XX,joy,joy,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITH_NEU_XX,neutral,neutral,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITH_SAD_XX,sadness,sadness,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1001_ITS_ANG_XX,anger,anger,0.0,0.0,I think I've seen this before.
CREMA-D,1001_ITS_DIS_XX,disgust,disgust,0.0,0.0,I think I've seen this before.
CREMA-D,1001_ITS_FEA_XX,fear,fear,0.0,0.0,I think I've seen this before.
CREMA-D,1001_ITS_HAP_XX,joy,joy,0.0,0.0,I think I've seen this before.
CREMA-D,1001_ITS_NEU_XX,neutral,neutral,0.0,0.0,I think I've seen this before.
CREMA-D,1001_ITS_SAD_XX,sadness,sadness,0.0,0.0,I think I've seen this before.
CREMA-D,1001_IWL_ANG_XX,anger,anger,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWL_DIS_XX,disgust,disgust,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWL_FEA_XX,fear,fear,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWL_HAP_XX,joy,joy,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWL_NEU_XX,neutral,neutral,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWL_SAD_XX,sadness,sadness,0.0,0.0,I would like a new alarm clock.
CREMA-D,1001_IWW_ANG_XX,anger,anger,0.0,0.0,I wonder what this is about.
CREMA-D,1001_IWW_DIS_XX,disgust,disgust,0.0,0.0,I wonder what this is about.
CREMA-D,1001_IWW_FEA_XX,fear,fear,0.0,0.0,I wonder what this is about.
CREMA-D,1001_IWW_HAP_XX,joy,joy,0.0,0.0,I wonder what this is about.
CREMA-D,1001_IWW_NEU_XX,neutral,neutral,0.0,0.0,I wonder what this is about.
CREMA-D,1001_IWW_SAD_XX,sadness,sadness,0.0,0.0,I wonder what this is about.
CREMA-D,1001_MTI_ANG_XX,anger,anger,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_MTI_DIS_XX,disgust,disgust,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_MTI_FEA_XX,fear,fear,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_MTI_HAP_XX,joy,joy,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_MTI_NEU_XX,neutral,neutral,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_MTI_SAD_XX,sadness,sadness,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1001_TAI_ANG_XX,anger,anger,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TAI_DIS_XX,disgust,disgust,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TAI_FEA_XX,fear,fear,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TAI_HAP_XX,joy,joy,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TAI_NEU_XX,neutral,neutral,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TAI_SAD_XX,sadness,sadness,0.0,0.0,The airplane is almost full.
CREMA-D,1001_TIE_ANG_XX,anger,anger,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TIE_DIS_XX,disgust,disgust,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TIE_FEA_XX,fear,fear,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TIE_HAP_XX,joy,joy,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TIE_NEU_XX,neutral,neutral,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TIE_SAD_XX,sadness,sadness,0.0,0.0,That is exactly what happened.
CREMA-D,1001_TSI_ANG_XX,anger,anger,0.0,0.0,The surface is slick.
CREMA-D,1001_TSI_DIS_XX,disgust,disgust,0.0,0.0,The surface is slick.
CREMA-D,1001_TSI_FEA_XX,fear,fear,0.0,0.0,The surface is slick.
CREMA-D,1001_TSI_HAP_XX,joy,joy,0.0,0.0,The surface is slick.
CREMA-D,1001_TSI_NEU_XX,neutral,neutral,0.0,0.0,The surface is slick.
CREMA-D,1001_TSI_SAD_XX,sadness,sadness,0.0,0.0,The surface is slick.
CREMA-D,1001_WSI_ANG_XX,anger,anger,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1001_WSI_DIS_XX,disgust,disgust,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1001_WSI_FEA_XX,fear,fear,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1001_WSI_HAP_XX,joy,joy,0.0,0.0,We'll stop in a couple of minutes.
