dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript,emotion,split
CREMA-D,call_2024-12-10_agent_01_001,anger,anger,0.671,1.94,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-10_agent_01_011,anger,anger,0.7,3.44,It's 11 o'clock!,anger,test
CREMA-D,call_2024-12-10_agent_01_021,anger,anger,0.563,3.67,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-10_agent_01_101,anger,anger,0.712,2.47,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_01_1021,sadness,neutral,0.391,2.67,I think I've seen this before.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1031,sadness,sadness,0.355,2.74,I think I have a doctor's appointment.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1041,sadness,sadness,0.402,2.84,I'm on my way to the meeting.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1051,sadness,sadness,0.511,2.84,Don't forget to check it.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1061,sadness,sadness,0.622,3.74,We'll stop in a couple of minutes.,sadness,test
CREMA-D,call_2024-12-10_agent_01_1071,sadness,fear,0.287,3.3,The surface is slick.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1081,sadness,sadness,0.633,3.67,That is exactly what happened.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1091,sadness,fear,0.349,2.94,The airplane is almost full.,sadness,train
CREMA-D,call_2024-12-10_agent_01_1101,sadness,joy,0.359,3.6,Maybe tomorrow it will be cold.,sadness,train
CREMA-D,call_2024-12-10_agent_01_111,anger,anger,0.306,3.37,It's 11 o'clock.,anger,test
CREMA-D,call_2024-12-10_agent_01_1111,sadness,joy,0.332,3.27,The airplane is almost full.,sadness,test
CREMA-D,call_2024-12-10_agent_01_1121,neutral,neutral,0.479,2.44,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1131,neutral,neutral,0.61,2.34,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1141,neutral,disgust,0.248,2.27,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1151,neutral,neutral,0.582,3.44,We'll stop in a couple of minutes.,neutral,val
CREMA-D,call_2024-12-10_agent_01_1161,neutral,disgust,0.338,2.34,That is exactly what happened.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1171,neutral,neutral,0.582,3.37,Maybe tomorrow it will be cold.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1181,neutral,neutral,0.59,3.04,I would like a new alarm clock.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1191,neutral,neutral,0.455,4.77,I think I had a doctor's appointment.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1201,neutral,anger,0.204,1.4,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-10_agent_01_121,anger,anger,0.465,2.67,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_01_1211,neutral,neutral,0.393,2.4,Don't forget a jacket.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1221,neutral,neutral,0.325,2.7,We'll stop in a couple of minutes.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1231,neutral,neutral,0.397,2.64,That is exactly what happened.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1241,neutral,neutral,0.79,2.84,Maybe tomorrow it will be cold.,neutral,val
CREMA-D,call_2024-12-10_agent_01_1251,neutral,neutral,0.746,2.64,I would like a new alarm clock.,neutral,train
